d_val	e_val	j_val	BGB_DEC_init_LnL	BD_LnL	classe_DEC_ML	classe_DEC_ML_minus_BD
d_0.01_e_3_j_0.01	0.01	3	0.01	-27.6376525006852	-3.2163953243245	-36.130836079254	-27.3957203109779
d_0.01_e_3_j_0.05	0.01	3	0.05	-27.6690516864467	-3.2163953243245	-36.1050881050631	-27.4780300352156
d_0.01_e_3_j_0.1	0.01	3	0.1	-27.7319515793311	-3.2163953243245	-36.1029469119004	-27.5819859914669
d_0.01_e_3_j_0.3	0.01	3	0.3	-28.0867473810772	-3.2163953243245	-36.2620102451796	-27.9969602424233
d_0.01_e_3_j_1	0.01	3	1	-29.4201294373172	-3.2163953243245	-37.3273002254832	-29.3464638085549
d_0.01_e_3_j_2.99	0.01	3	2.99	-31.8880182303691	-3.2163953243245	-40.8632329794182	-32.5901766060262
d_0.01_e_5_j_0	0.01	5	0	-45.6119430143074	-3.2163953243245	-54.1205692879885	-45.357369388612
d_0.01_e_5_j_0.01	0.01	5	0.01	-45.6165179460984	-3.2163953243245	-54.1099432390581	-45.3775565263451
d_0.01_e_5_j_0.05	0.01	5	0.05	-45.6498292507851	-3.2163953243245	-54.0852205119534	-45.4591732467872
d_0.01_e_5_j_0.1	0.01	5	0.1	-45.7143475033829	-3.2163953243245	-54.0839955687114	-45.5624114068369
d_0.01_e_5_j_0.3	0.01	5	0.3	-46.0720192349196	-3.2163953243245	-54.2449104091488	-45.9756451804258
d_0.01_e_5_j_1	0.01	5	1	-47.4033467059568	-3.2163953243245	-55.3105631737285	-47.3247603485017
d_0.01_e_5_j_2.99	0.01	5	2.99	-49.7800896351956	-3.2163953243245	-58.7534663593004	-50.4827005445831
d_0.05_e_0_j_0	0.05	0	0	-2.24175937219336	-3.2163953243245	-10.8334331436095	-2.24175947885164
d_0.05_e_0_j_0.01	0.05	0	0.01	-2.16992526546758	-3.2163953243245	-10.7419267168859	-2.26182375280414
d_0.05_e_0_j_0.05	0.05	0	0.05	-1.99472593490967	-3.2163953243245	-10.4940918499227	-2.34315143211046
d_0.05_e_0_j_0.1	0.05	0	0.1	-1.91053213821516	-3.2163953243245	-10.3307772075075	-2.4464353583016
d_0.05_e_0_j_0.3	0.05	0	0.3	-2.03963534137239	-3.2163953243245	-10.2313089296233	-2.86341069648759
d_0.05_e_0_j_1	0.05	0	1	-3.30960011770527	-3.2163953243245	-11.1512737174402	-4.26434814492081
d_0.05_e_0_j_2.99	0.05	0	2.99	-15.2818475082021	-3.2163953243245	-22.8740782561557	-16.2278371094936
d_0.05_e_0.01_j_0	0.05	0.01	0	-2.26319668697147	-3.2163953243245	-10.8329751632658	-2.27218184753921
d_0.05_e_0.01_j_0.01	0.05	0.01	0.01	-2.19793077676795	-3.2163953243245	-10.7507678474547	-2.29231380337777
d_0.05_e_0.01_j_0.05	0.05	0.01	0.05	-2.03841972537726	-3.2163953243245	-10.5253306829436	-2.37385069393326
d_0.05_e_0.01_j_0.1	0.05	0.01	0.1	-1.96360152374563	-3.2163953243245	-10.3756215797192	-2.47727572036156
d_0.05_e_0.01_j_0.3	0.05	0.01	0.3	-2.10420631570367	-3.2163953243245	-10.2939171934409	-2.89383616016911
d_0.05_e_0.01_j_1	0.05	0.01	1	-3.37207339019511	-3.2163953243245	-11.2205676841368	-4.28462234483684
d_0.05_e_0.01_j_2.99	0.05	0.01	2.99	-8.31924861817981	-3.2163953243245	-17.2913803461681	-9.38571788700574
d_0.05_e_0.05_j_0	0.05	0.05	0	-2.39591914404296	-3.2163953243245	-10.9058712657279	-2.42424241435315
d_0.05_e_0.05_j_0.01	0.05	0.05	0.01	-2.34967194089724	-3.2163953243245	-10.8485596122464	-2.44454599882083
d_0.05_e_0.05_j_0.05	0.05	0.05	0.05	-2.23763172174678	-3.2163953243245	-10.6867892850582	-2.52658002840328
d_0.05_e_0.05_j_0.1	0.05	0.05	0.1	-2.19265024675159	-3.2163953243245	-10.5785778719961	-2.63025401911258
d_0.05_e_0.05_j_0.3	0.05	0.05	0.3	-2.37136228200138	-3.2163953243245	-10.5546460365224	-3.04474529335147
d_0.05_e_0.05_j_1	0.05	0.05	1	-3.63049129084791	-3.2163953243245	-11.5036237631764	-4.40068697630082
d_0.05_e_0.05_j_2.99	0.05	0.05	2.99	-7.05025900921552	-3.2163953243245	-16.0245351208732	-8.03932266287986
d_0.05_e_0.1_j_0	0.05	0.1	0	-2.63305588125863	-3.2163953243245	-11.1008210737798	-2.66566481696211
d_0.05_e_0.1_j_0.01	0.05	0.1	0.01	-2.60127630467919	-3.2163953243245	-11.0606573974467	-2.68605532988956
d_0.05_e_0.1_j_0.05	0.05	0.1	0.05	-2.52754542950419	-3.2163953243245	-10.9462233806616	-2.76828198985466
d_0.05_e_0.1_j_0.1	0.05	0.1	0.1	-2.50836688951274	-3.2163953243245	-10.8718620981868	-2.87188960075219
d_0.05_e_0.1_j_0.3	0.05	0.1	0.3	-2.72194193406969	-3.2163953243245	-10.8995061666287	-3.28354364811953
d_0.05_e_0.1_j_1	0.05	0.1	1	-3.96992533186694	-3.2163953243245	-11.8689279456811	-4.60597758068308
d_0.05_e_0.1_j_2.99	0.05	0.1	2.99	-6.78881196850611	-3.2163953243245	-15.7634234673759	-7.70748067630013
d_0.05_e_0.3_j_0	0.05	0.3	0	-3.94112436490555	-3.2163953243245	-12.3451970939209	-3.94015810222534
d_0.05_e_0.3_j_0.01	0.05	0.3	0.01	-3.93320589713177	-3.2163953243245	-12.3304361747149	-3.96049546388314
d_0.05_e_0.3_j_0.05	0.05	0.3	0.05	-3.9272822498047	-3.2163953243245	-12.2921529941967	-4.04225031089234
d_0.05_e_0.3_j_0.1	0.05	0.3	0.1	-3.95792324436886	-3.2163953243245	-12.2784525011107	-4.14474835485435
d_0.05_e_0.3_j_0.3	0.05	0.3	0.3	-4.24372842382896	-3.2163953243245	-12.410244502864	-4.54747525222561
d_0.05_e_0.3_j_1	0.05	0.3	1	-5.45169820215203	-3.2163953243245	-13.4195865473804	-5.79585246826389
d_0.05_e_0.3_j_2.99	0.05	0.3	2.99	-7.46805853817887	-3.2163953243245	-16.4430623492385	-8.24947357472173
